iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 29, 2018"
Total Net Assets,"47,208,832,447.76"
Shares Outstanding,"242,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.42","257.31","772,772.00","198,841,963.32","198,841,963.32","Information Technology","2249964","US90385D1072","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.42","75.64","2,626,276.00","198,651,516.64","198,651,516.64","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.42","107.33","1,843,210.00","197,831,729.30","197,831,729.30","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.42","197.86","999,228.00","197,707,252.08","197,707,252.08","Financials","B03Q9D0","US57060D1081","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.42","200.15","986,281.00","197,404,142.15","197,404,142.15","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.41","99.29","1,955,040.00","194,115,921.60","194,115,921.60","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.41","38.07","5,083,458.00","193,527,246.06","193,527,246.06","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"WPX","WPX ENERGY INC","Equity","0.41","18.03","10,618,435.00","191,450,383.05","191,450,383.05","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.41","122.18","1,560,378.00","190,646,984.04","190,646,984.04","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.40","199.06","950,258.00","189,158,357.48","189,158,357.48","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"EGN","ENERGEN CORP","Equity","0.40","72.82","2,588,812.00","188,517,289.84","188,517,289.84","Energy","2012672","US29265N1081","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.40","35.21","5,307,051.00","186,861,265.71","186,861,265.71","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.39","72.41","2,553,964.00","184,932,533.24","184,932,533.24","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.39","127.88","1,426,412.00","182,409,566.56","182,409,566.56","Financials","B00JQL9","US82669G1040","NASDAQ"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.38","43.96","4,087,922.00","179,705,051.12","179,705,051.12","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"EHC","ENCOMPASS HEALTH CORP","Equity","0.38","67.72","2,625,745.00","177,815,451.40","177,815,451.40","Health Care","BYX2YJ7","US29261A1007","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.37","108.31","1,619,423.00","175,399,705.13","175,399,705.13","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.37","75.28","2,328,124.00","175,261,174.72","175,261,174.72","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.37","48.57","3,607,528.00","175,217,634.96","175,217,634.96","Consumer Discretionary","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.37","128.41","1,358,335.00","174,423,797.35","174,423,797.35","Industrials","2641838","US6556631025","NASDAQ"
"SCI","SERVICE","Equity","0.37","35.79","4,871,631.00","174,355,673.49","174,355,673.49","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.37","44.33","3,926,874.00","174,078,324.42","174,078,324.42","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.36","40.18","4,243,996.00","170,523,759.28","170,523,759.28","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.36","60.25","2,817,058.00","169,727,744.50","169,727,744.50","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.36","27.73","6,092,221.00","168,937,288.33","168,937,288.33","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.36","87.54","1,922,039.00","168,255,294.06","168,255,294.06","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"GNTX","GENTEX CORP","Equity","0.36","23.02","7,276,575.00","167,506,756.50","167,506,756.50","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"DCT","DCT INDUSTRIAL TRUST REIT INC TRUS","Equity","0.36","66.73","2,502,430.00","166,987,153.90","166,987,153.90","Real Estate","BRWPYN2","US2331532042","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.36","108.24","1,542,587.00","166,969,616.88","166,969,616.88","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.36","52.83","3,152,382.00","166,540,341.06","166,540,341.06","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"WTR","AQUA AMERICA INC","Equity","0.35","35.18","4,726,926.00","166,293,256.68","166,293,256.68","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"SABR","SABRE CORP","Equity","0.35","24.64","6,716,132.00","165,485,492.48","165,485,492.48","Information Technology","BLLHH27","US78573M1045","NASDAQ"
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.35","52.19","3,167,262.00","165,299,403.78","165,299,403.78","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.35","49.42","3,324,909.00","164,317,002.78","164,317,002.78","Financials","2619772","US6952631033","NASDAQ"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.35","31.00","5,277,001.00","163,587,031.00","163,587,031.00","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"X","US STEEL CORP CORP","Equity","0.35","34.75","4,697,591.00","163,241,287.25","163,241,287.25","Materials","2824770","US9129091081","New York Stock Exchange Inc."
"POOL","POOL CORP","Equity","0.35","151.50","1,075,354.00","162,916,131.00","162,916,131.00","Consumer Discretionary","2781585","US73278L1052","NASDAQ"
"RGLD","ROYAL GOLD INC","Equity","0.34","92.84","1,739,178.00","161,465,285.52","161,465,285.52","Materials","2755706","US7802871084","NASDAQ"
"EXEL","EXELIXIS INC","Equity","0.34","21.52","7,498,278.00","161,362,942.56","161,362,942.56","Health Care","2576941","US30161Q1040","NASDAQ"
"CBSH","COMMERCE BANCSHARES INC","Equity","0.34","64.71","2,492,502.00","161,289,804.42","161,289,804.42","Financials","2213204","US2005251036","NASDAQ"
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.34","18.98","8,409,640.00","159,614,967.20","159,614,967.20","Industrials","2852760","US4771431016","NASDAQ"
"VVC","VECTREN CORP","Equity","0.34","71.45","2,207,545.00","157,729,090.25","157,729,090.25","Utilities","2572949","US92240G1013","New York Stock Exchange Inc."
"RIG","TRANSOCEAN LTD","Equity","0.33","13.44","11,654,815.00","156,640,713.60","156,640,713.60","Energy","B3KFWW1","CH0048265513","New York Stock Exchange Inc."
"WH","WYNDHAM HOTELS RESORTS INC","Equity","0.33","58.83","2,649,738.00","155,884,086.54","155,884,086.54","Consumer Discretionary","BF108P4","US98311A1051","New York Stock Exchange Inc."
"WBS","WEBSTER FINANCIAL CORP","Equity","0.33","63.70","2,447,134.00","155,882,435.80","155,882,435.80","Financials","2945143","US9478901096","New York Stock Exchange Inc."
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.33","42.88","3,631,856.00","155,733,985.28","155,733,985.28","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"DCI","DONALDSON INC","Equity","0.33","45.12","3,450,856.00","155,702,622.72","155,702,622.72","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"BIO","BIO RAD LABORATORIES INC CLASS A","Equity","0.33","288.54","538,192.00","155,289,919.68","155,289,919.68","Health Care","2098508","US0905722072","New York Stock Exchange Inc."
"FHN","FIRST HORIZON NATIONAL CORP","Equity","0.33","17.84","8,693,870.00","155,098,640.80","155,098,640.80","Financials","2341484","US3205171057","New York Stock Exchange Inc."
"ATR","APTARGROUP INC","Equity","0.33","93.38","1,657,685.00","154,794,625.30","154,794,625.30","Materials","2045247","US0383361039","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.33","105.74","1,457,790.00","154,146,714.60","154,146,714.60","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"HRC","HILL ROM HOLDINGS INC","Equity","0.33","87.34","1,761,071.00","153,811,941.14","153,811,941.14","Health Care","2425924","US4314751029","New York Stock Exchange Inc."
"POST","POST HOLDINGS INC","Equity","0.33","86.02","1,787,936.00","153,798,254.72","153,798,254.72","Consumer Staples","B6T0518","US7374461041","New York Stock Exchange Inc."
"CONE","CYRUSONE REIT INC","Equity","0.33","58.36","2,633,558.00","153,694,444.88","153,694,444.88","Real Estate","B7YRLH9","US23283R1005","NASDAQ"
"FICO","FAIR ISAAC CORP","Equity","0.33","193.32","792,879.00","153,279,368.28","153,279,368.28","Information Technology","2330299","US3032501047","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.33","51.72","2,957,146.00","152,943,591.12","152,943,591.12","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.33","68.31","2,233,054.00","152,539,918.74","152,539,918.74","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.32","69.07","2,204,544.00","152,267,854.08","152,267,854.08","Consumer Discretionary","B3LHT03","US2655041000","NASDAQ"
"WSO","WATSCO INC","Equity","0.32","178.28","851,415.00","151,790,266.20","151,790,266.20","Industrials","2943039","US9426222009","New York Stock Exchange Inc."
"LFUS","LITTELFUSE INC","Equity","0.32","228.18","663,399.00","151,374,383.82","151,374,383.82","Information Technology","2531832","US5370081045","NASDAQ"
"MAN","MANPOWER INC","Equity","0.32","86.06","1,749,142.00","150,531,160.52","150,531,160.52","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"BC","BRUNSWICK CORP","Equity","0.32","64.48","2,316,062.00","149,339,677.76","149,339,677.76","Consumer Discretionary","2149309","US1170431092","New York Stock Exchange Inc."
"MDU","MDU RESOURCES GROUP INC","Equity","0.32","28.68","5,189,423.00","148,832,651.64","148,832,651.64","Utilities","2547323","US5526901096","New York Stock Exchange Inc."
"CTLT","CATALENT INC","Equity","0.32","41.89","3,543,746.00","148,447,519.94","148,447,519.94","Health Care","BP96PQ4","US1488061029","New York Stock Exchange Inc."
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.32","15.58","9,525,471.00","148,406,838.18","148,406,838.18","Information Technology","2244549","US2328061096","NASDAQ"
"CLB","CORE LABORATORIES NV","Equity","0.32","126.21","1,171,939.00","147,910,421.19","147,910,421.19","Energy","2182531","NL0000200384","New York Stock Exchange Inc."
"TECH","BIO TECHNE CORP","Equity","0.32","147.95","998,378.00","147,710,025.10","147,710,025.10","Health Care","BSHZ3Q0","US09073M1045","NASDAQ"
"JHG","JANUS HENDERSON GROUP PLC","Equity","0.31","30.73","4,792,680.00","147,279,056.40","147,279,056.40","Financials","BYPZJQ6","JE00BYPZJM29","New York Stock Exchange Inc."
"MUR","MURPHY OIL CORP","Equity","0.31","33.77","4,321,924.00","145,951,373.48","145,951,373.48","Energy","2611206","US6267171022","New York Stock Exchange Inc."
"OZRK","BANK OF OZARKS","Equity","0.31","45.04","3,226,570.00","145,324,712.80","145,324,712.80","Financials","2085856","US0639041062","NASDAQ"
"SIX","SIX FLAGS ENTERTAINMENT CORP","Equity","0.31","70.05","2,064,459.00","144,615,352.95","144,615,352.95","Consumer Discretionary","B43VKB8","US83001A1025","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.31","97.71","1,477,825.00","144,398,280.75","144,398,280.75","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"NYCB","NEW YORK COMMUNITY BANCORP INC","Equity","0.31","11.04","13,030,255.00","143,854,015.20","143,854,015.20","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.31","87.76","1,638,882.00","143,828,284.32","143,828,284.32","Industrials","2516851","US5339001068","NASDAQ"
"LOGM","LOGMEIN INC","Equity","0.31","103.25","1,387,278.00","143,236,453.50","143,236,453.50","Information Technology","B600J15","US54142L1098","NASDAQ"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.30","112.26","1,273,068.00","142,914,613.68","142,914,613.68","Health Care","2604336","US1598641074","New York Stock Exchange Inc."
"STL","STERLING BAN","Equity","0.30","23.50","5,990,813.00","140,784,105.50","140,784,105.50","Financials","BFNXVB8","US85917A1007","New York Stock Exchange Inc."
"ACM","AECOM","Equity","0.30","33.03","4,259,660.00","140,696,569.80","140,696,569.80","Industrials","B1VZ431","US00766T1007","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","0.30","119.02","1,174,591.00","139,799,820.82","139,799,820.82","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"MKSI","MKS INSTRUMENTS INC","Equity","0.30","95.70","1,457,694.00","139,501,315.80","139,501,315.80","Information Technology","2404871","US55306N1046","NASDAQ"
"HIW","HIGHWOODS PROPERTIES REIT INC","Equity","0.30","50.73","2,747,702.00","139,390,922.46","139,390,922.46","Real Estate","2420640","US4312841087","New York Stock Exchange Inc."
"SON","SONOCO PRODUCTS","Equity","0.30","52.50","2,645,081.00","138,866,752.50","138,866,752.50","Materials","2821395","US8354951027","New York Stock Exchange Inc."
"TOL","TOLL BROTHERS INC","Equity","0.30","36.99","3,751,077.00","138,752,338.23","138,752,338.23","Consumer Discretionary","2896092","US8894781033","New York Stock Exchange Inc."
"OSK","OSHKOSH CORP","Equity","0.30","70.32","1,970,512.00","138,566,403.84","138,566,403.84","Industrials","2663520","US6882392011","New York Stock Exchange Inc."
"MPWR","MONOLITHIC POWER SYSTEMS INC","Equity","0.29","133.67","1,031,174.00","137,837,028.58","137,837,028.58","Information Technology","B01Z7J1","US6098391054","NASDAQ"
"CHE","CHEMED CORP","Equity","0.29","321.81","424,878.00","136,729,989.18","136,729,989.18","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.29","14.04","9,722,984.00","136,510,695.36","136,510,695.36","Real Estate","B0JL5L9","US58463J3041","New York Stock Exchange Inc."
"TRN","TRINITY INDUSTRIES INC","Equity","0.29","34.26","3,979,700.00","136,344,522.00","136,344,522.00","Industrials","2904627","US8965221091","New York Stock Exchange Inc."
"THG","HANOVER INSURANCE GROUP INC","Equity","0.29","119.56","1,133,959.00","135,576,138.04","135,576,138.04","Financials","2020415","US4108671052","New York Stock Exchange Inc."
"CRI","CARTERS INC","Equity","0.29","108.39","1,247,097.00","135,172,843.83","135,172,843.83","Consumer Discretionary","2980939","US1462291097","New York Stock Exchange Inc."
"AVT","AVNET INC","Equity","0.29","42.89","3,145,109.00","134,893,725.01","134,893,725.01","Information Technology","2066505","US0538071038","NASDAQ"
"ROL","ROLLINS INC","Equity","0.29","52.58","2,559,195.00","134,562,473.10","134,562,473.10","Industrials","2747305","US7757111049","New York Stock Exchange Inc."
