iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"50,482,722,433.43"
Shares Outstanding,"250,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WPX","WPX ENERGY INC","Equity","0.44","20.12","10,910,329.00","219,515,819.48","219,515,819.48","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.43","218.40","1,001,245.00","218,671,908.00","218,671,908.00","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.43","110.97","1,945,002.00","215,836,871.94","215,836,871.94","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.43","46.34","4,619,275.00","214,057,203.50","214,057,203.50","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"EHC","ENCOMPASS HEALTH CORP","Equity","0.42","77.95","2,732,060.00","212,964,077.00","212,964,077.00","Health Care","BYX2YJ7","US29261A1007","New York Stock Exchange Inc."
"TECH","BIO TECHNE CORP","Equity","0.42","204.11","1,042,654.00","212,816,107.94","212,816,107.94","Health Care","BSHZ3Q0","US09073M1045","NASDAQ"
"WRB","WR BERKLEY CORP","Equity","0.42","79.93","2,659,239.00","212,552,973.27","212,552,973.27","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.41","54.47","3,812,693.00","207,677,387.71","207,677,387.71","Consumer Discretionary","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"DCI","DONALDSON INC","Equity","0.41","58.26","3,564,123.00","207,645,805.98","207,645,805.98","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.41","104.96","1,962,646.00","205,999,324.16","205,999,324.16","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.40","133.57","1,513,490.00","202,156,859.30","202,156,859.30","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.40","121.80","1,650,642.00","201,048,195.60","201,048,195.60","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.40","138.90","1,446,103.00","200,863,706.70","200,863,706.70","Industrials","2641838","US6556631025","NASDAQ"
"OGE","OGE ENERGY CORP","Equity","0.40","36.32","5,518,396.00","200,428,142.72","200,428,142.72","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"FIVE","FIVE BELOW INC","Equity","0.40","130.06","1,539,719.00","200,255,853.14","200,255,853.14","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.40","71.69","2,780,846.00","199,358,849.74","199,358,849.74","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
