iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2018"
Total Net Assets,"46,952,374,315.77"
Shares Outstanding,"241,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CGNX","COGNEX CORP","Equity","0.44","45.71","4,562,829.00","208,566,913.59","208,566,913.59","Information Technology","2208288","US1924221039","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.44","201.01","1,025,979.00","206,232,038.79","206,232,038.79","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","0.43","133.72","1,519,566.00","203,196,365.52","203,196,365.52","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.43","45.40","4,454,798.00","202,247,829.20","202,247,829.20","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.43","203.31","988,452.00","200,962,176.12","200,962,176.12","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.42","262.15","763,604.00","200,178,788.60","200,178,788.60","Information Technology","2249964","US90385D1072","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.42","109.88","1,813,350.00","199,250,898.00","199,250,898.00","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.42","76.15","2,595,473.00","197,645,268.95","197,645,268.95","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.41","163.76","1,193,847.00","195,504,384.72","195,504,384.72","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.41","37.91","5,137,864.00","194,776,424.24","194,776,424.24","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.41","76.47","2,524,412.00","193,041,785.64","193,041,785.64","Financials","2093644","US0844231029","New York Stock Exchange Inc."
